,x,Freq. Ass.,Freq. Rel.,MEAN,N,SUM,MEAN,MEAN
112,29,,,,,,,
113,29,,,,,,,
114,29,,,,,,,
115,29,,,,,,,
116,29,,,,,,,
117,29,,,,,,,
118,29,,,,,,,
119,29,,,,,,,
120,29,,,,,,,
121,29,,,,,,,
122,29,,,,,,,
123,29,,,,,,,
124,29,,,,,,,
125,29,,,,,,,
126,29,,,,,,,
127,29,,,,,,,
128,29,,,,,,,
129,29,,,,,,,
130,29,,,,,,,
131,29,,,,,,,
132,29,,,,,,,
133,29,,,,,,,
134,29,,,,,,,
135,29,,,,,,,
136,29,,,,,,,
137,29,,,,,,,
138,29,,,,,,,
139,29,,,,,,,
140,29,,,,,,,
141,29,,,,,,,
142,29,,,,,,,
143,29,,,,,,,
144,29,,,,,,,
145,29,,,,,,,
146,29,,,,,,,
147,29,,,,,,,
148,29,,,,,,,
149,29,,,,,,,
150,29,,,,,,,
151,29,,,,,,,
152,29,,,,,,,
153,29,,,,,,,
154,29,,,,,,,
155,29,,,,,,,
156,29,,,,,,,
157,29,,,,,,,
158,29,,,,,,,
159,29,,,,,,,
160,29,,,,,,,
161,29,,,,,,,
162,29,,,,,,,
163,29,,,,,,,
164,30,56,0.21875,,,,,
165,30,,,,,,,
166,30,,,,,,,
167,30,,,,,,,
168,30,,,,,,,
169,30,,,,,,,
170,30,,,,,,,
171,30,,,,,,,
172,30,,,,,,,
173,30,,,,,,,
174,30,,,,,,,
175,30,,,,,,,
176,30,,,,,,,
177,30,,,,,,,
178,30,,,,,,,
179,30,,,,,,,
180,30,,,,,,,
181,30,,,,,,,
182,30,,,,,,,
183,30,,,,,,,
184,30,,,,,,,
185,30,,,,,,,
186,30,,,,,,,
187,30,,,,,,,
188,30,,,,,,,
189,30,,,,,,,
190,30,,,,,,,
191,30,,,,,,,
192,30,,,,,,,
193,30,,,,,,,
194,30,,,,,,,
195,30,,,,,,,
196,30,,,,,,,
197,30,,,,,,,
198,30,,,,,,,
199,30,,,,,,,
200,30,,,,,,,
201,30,,,,,,,
202,30,,,,,,,
203,30,,,,,,,
204,30,,,,,,,
205,30,,,,,,,
206,30,,,,,,,
207,30,,,,,,,
208,30,,,,,,,
209,30,,,,,,,
210,30,,,,,,,
211,30,,,,,,,
212,30,,,,,,,
213,30,,,,,,,
214,30,,,,,,,
215,30,,,,,,,
216,30,,,,,,,
217,30,,,,,,,
218,30,,,,,,,
219,30,,,,,,,
220,31,28,0.109375,,,,,
221,31,,,,,,,
222,31,,,,,,,
223,31,,,,,,,
224,31,,,,,,,
225,31,,,,,,,
226,31,,,,,,,
227,31,,,,,,,
228,31,,,,,,,
229,31,,,,,,,
230,31,,,,,,,
231,31,,,,,,,
232,31,,,,,,,
233,31,,,,,,,
234,31,,,,,,,
235,31,,,,,,,
236,31,,,,,,,
237,31,,,,,,,
238,31,,,,,,,
239,31,,,,,,,
240,31,,,,,,,
241,31,,,,,,,
242,31,,,,,,,
243,31,,,,,,,
244,31,,,,,,,
245,31,,,,,,,
246,31,,,,,,,
247,31,,,,,,,
248,32,8,0.03125,,,,,
249,32,,,,,,,
250,32,,,,,,,
251,32,,,,,,,
252,32,,,,,,,
253,32,,,,,,,
254,32,,,,,,,
255,32,,,,,,,
256,33,1,0.00390625,,,,,
